phi1,dm_interp
1.2999999523162842,16.674257278442383
1.350000023841858,16.674306869506836
1.399999976158142,16.674354553222656
1.4500000476837158,16.67440414428711
1.5,16.67445182800293
1.5499999523162842,16.674501419067383
1.600000023841858,16.674549102783203
1.649999976158142,16.674598693847656
1.7000000476837158,16.67464828491211
1.75,16.67469596862793
1.7999999523162842,16.674745559692383
1.850000023841858,16.674793243408203
1.899999976158142,16.674842834472656
1.9500000476837158,16.67489242553711
2.0,16.67494010925293
2.049999952316284,16.674989700317383
2.0999999046325684,16.675037384033203
2.1500000953674316,16.675086975097656
2.200000047683716,16.67513656616211
2.25,16.67518424987793
2.299999952316284,16.675233840942383
2.3499999046325684,16.675281524658203
2.4000000953674316,16.675331115722656
2.450000047683716,16.675378799438477
2.5,16.67542839050293
2.549999952316284,16.675477981567383
2.5999999046325684,16.675525665283203
2.6500000953674316,16.675575256347656
2.700000047683716,16.675622940063477
2.75,16.67567253112793
2.799999952316284,16.675722122192383
2.8499999046325684,16.675769805908203
2.9000000953674316,16.675819396972656
2.950000047683716,16.675867080688477
3.0,16.67591667175293
3.049999952316284,16.67582130432129
3.0999999046325684,16.67572784423828
3.1500000953674316,16.67563247680664
3.200000047683716,16.675539016723633
3.25,16.675443649291992
3.299999952316284,16.675350189208984
3.3499999046325684,16.675254821777344
3.4000000953674316,16.675161361694336
3.450000047683716,16.675065994262695
3.5,16.674972534179688
3.549999952316284,16.674877166748047
3.5999999046325684,16.674781799316406
3.6500000953674316,16.6746883392334
3.700000047683716,16.674592971801758
3.75,16.67449951171875
3.799999952316284,16.67440414428711
3.8499999046325684,16.6743106842041
3.9000000953674316,16.67421531677246
3.950000047683716,16.674121856689453
4.0,16.674026489257812
4.050000190734863,16.673933029174805
4.099999904632568,16.673837661743164
4.150000095367432,16.673742294311523
4.199999809265137,16.673648834228516
4.25,16.673553466796875
4.300000190734863,16.673460006713867
4.349999904632568,16.673364639282227
4.400000095367432,16.67327117919922
4.449999809265137,16.673175811767578
4.5,16.67308235168457
4.550000190734863,16.67298698425293
4.599999904632568,16.672893524169922
4.650000095367432,16.67279815673828
4.699999809265137,16.672704696655273
4.75,16.672609329223633
4.800000190734863,16.672513961791992
4.849999904632568,16.672420501708984
4.900000095367432,16.672325134277344
4.949999809265137,16.672231674194336
5.0,16.672136306762695
5.050000190734863,16.672428131103516
5.099999904632568,16.672718048095703
5.150000095367432,16.673009872436523
5.199999809265137,16.67329978942871
5.25,16.67359161376953
5.300000190734863,16.67388153076172
5.349999904632568,16.674171447753906
5.400000095367432,16.674463272094727
5.449999809265137,16.674753189086914
5.5,16.675045013427734
5.550000190734863,16.675334930419922
5.599999904632568,16.675626754760742
5.650000095367432,16.67591667175293
5.699999809265137,16.67620849609375
5.75,16.676498413085938
5.800000190734863,16.676790237426758
5.849999904632568,16.677080154418945
5.900000095367432,16.677370071411133
